X,Y,OBJECTID,LATITUDE,LONGITUDE,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,GIS_LAST_MOD_DTTM,GIS_ID,REGION_NAME
-77.0601703308956,38.9028362175687,43358788,38.902826,-77.060173,Thomas Jefferson St NW & Water/K St NW,classic,365,active,2022/06/28 22:06:36+00,19,0,0,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"CREDITCARD,KEY",42,2022/06/28 23:12:28+00,,"Washington, DC"
-77.0270295901901,38.9137667029216,43358789,38.913761,-77.027025,11th & S St NW,classic,367,active,2022/06/28 23:09:23+00,11,0,10,0,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,23,"CREDITCARD,KEY",42,2022/06/28 23:12:28+00,,"Washington, DC"
-77.0878745863006,38.8661274951621,43358790,38.86612,-77.08787,Walter Reed Dr & 8th St S,classic,368,active,2022/06/28 21:39:59+00,6,0,8,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"CREDITCARD,KEY",41,2022/06/28 23:12:28+00,,"Arlington, VA"
-77.0036682331742,38.8996807136618,43358791,38.89967,-77.003666,2nd & G St NE,classic,369,active,2022/06/28 22:50:59+00,14,0,9,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,23,"CREDITCARD,KEY",42,2022/06/28 23:12:28+00,,"Washington, DC"
-77.0227732312333,38.9086508716437,43358792,38.90864,-77.02277,8th & O St NW,classic,370,active,2022/06/28 22:51:23+00,3,0,13,0,3,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"CREDITCARD,KEY",42,2022/06/28 23:12:28+00,,"Washington, DC"
-77.0278553047976,38.9613483385956,43358793,38.961339,-77.027855,Georgia & Missouri Ave NW,classic,371,active,2022/06/28 22:51:31+00,13,0,5,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"CREDITCARD,KEY",42,2022/06/28 23:12:28+00,,"Washington, DC"
-76.9748266526823,38.8944802327631,43358794,38.894474,-76.974828,Oklahoma Ave & D St NE,classic,373,active,2022/06/28 20:56:38+00,9,0,10,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"CREDITCARD,KEY",42,2022/06/28 23:12:28+00,,"Washington, DC"
-76.9927860144647,38.8962303454456,43358795,38.896226,-76.992786,Maryland Ave & E St NE,classic,374,active,2022/06/28 22:33:23+00,9,0,10,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"CREDITCARD,KEY",42,2022/06/28 23:12:28+00,,"Washington, DC"
-76.9836863166128,38.9156154001449,43358796,38.915604,-76.983683,New York Ave & Hecht Ave NE,classic,375,active,2022/06/28 22:44:23+00,17,0,6,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,23,"CREDITCARD,KEY",42,2022/06/28 23:12:28+00,,"Washington, DC"
-77.080590450225,38.9461899836221,43358797,38.946182,-77.08059,Yuma St & Tenley Circle NW,classic,376,active,2022/06/28 23:03:55+00,9,0,10,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"CREDITCARD,KEY",42,2022/06/28 23:12:28+00,,"Washington, DC"
-77.0769854112556,38.994125275868,43358798,38.994113,-77.076986,Connecticut Ave & Chevy Chase Lake Dr,classic,377,active,2022/06/28 17:04:39+00,5,0,10,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"CREDITCARD,KEY",44,2022/06/28 23:12:28+00,,"Montgomery County, MD (South)"
-77.194778526328,39.1053016278562,43358799,39.105295,-77.194774,Key West Ave & Siesta Key Way,classic,378,active,2022/06/28 04:58:24+00,10,0,5,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"CREDITCARD,KEY",43,2022/06/28 23:12:28+00,,"Montgomery County, MD (North)"
-77.118013647706,38.8983059392169,43358800,38.898301,-77.118009,Langston Blvd & N Woodstock St,classic,379,active,2022/06/28 21:30:10+00,15,0,3,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"CREDITCARD,KEY",41,2022/06/28 23:12:28+00,,"Arlington, VA"
-77.0441013133195,38.8127230942695,43358801,38.812718,-77.044097,Saint Asaph St & Madison St,classic,380,active,2022/06/28 20:06:07+00,2,0,13,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"CREDITCARD,KEY",40,2022/06/28 23:12:28+00,,"Alexandria, VA"
-77.059824835088,38.8070497472537,43358802,38.80704,-77.059817,King St Metro North / Cameron St,classic,381,active,2022/06/28 22:55:29+00,3,0,11,0,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"CREDITCARD,KEY",40,2022/06/28 23:12:28+00,,"Alexandria, VA"
-77.0494674234298,38.8134956728174,43358803,38.813485,-77.049468,Madison St & N Henry St,classic,382,active,2022/06/28 19:58:09+00,13,0,2,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"CREDITCARD,KEY",40,2022/06/28 23:12:28+00,,"Alexandria, VA"
-77.0978862552896,38.9993884565188,43358804,38.999378,-77.097882,Medical Center Metro ,classic,383,active,2022/06/28 21:59:49+00,18,0,0,0,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"CREDITCARD,KEY",44,2022/06/28 23:12:28+00,,"Montgomery County, MD (South)"
-77.1276730047476,38.8848372581435,43358805,38.884829,-77.127671,Washington Blvd & N Frederick St,classic,384,active,2022/06/28 19:41:25+00,2,0,9,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,11,"CREDITCARD,KEY",41,2022/06/28 23:12:28+00,,"Arlington, VA"
-77.0846422852585,38.9582762265901,43358806,38.958267,-77.084636,Wisconsin Ave & Ingomar St NW,classic,385,active,2022/06/28 20:23:44+00,10,0,9,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"CREDITCARD,KEY",42,2022/06/28 23:12:28+00,,"Washington, DC"
-77.036250087961,38.9288981935976,43358807,38.928893,-77.03625,16th & Irving St NW,classic,386,active,2022/06/28 23:07:21+00,14,0,5,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"CREDITCARD,KEY",42,2022/06/28 23:12:28+00,,"Washington, DC"
-77.0362764230202,38.9126561720997,43358808,38.912652,-77.036278,16th & R St NW,classic,387,active,2022/06/28 23:09:56+00,4,0,13,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"CREDITCARD,KEY",42,2022/06/28 23:12:28+00,,"Washington, DC"
-77.0511667550857,38.9996884650584,43358809,38.999679,-77.051168,Lyttonsville Rd & Lyttonsville Pl,classic,388,active,2022/06/28 18:40:15+00,7,0,7,0,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"CREDITCARD,KEY",44,2022/06/28 23:12:28+00,,"Montgomery County, MD (South)"
-77.0534844560023,38.9038303890178,43358810,38.903827,-77.053485,25th St & Pennsylvania Ave NW,classic,112,active,2022/06/28 22:49:51+00,2,0,13,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"CREDITCARD,KEY",42,2022/06/28 23:12:28+00,,"Washington, DC"
-77.0049361412587,38.8969691496826,43358811,38.89696,-77.00493,Columbus Circle / Union Station,classic,113,active,2022/06/28 22:43:43+00,53,0,0,0,2,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,55,"CREDITCARD,KEY",42,2022/06/28 23:12:28+00,,"Washington, DC"
-77.0098931220219,38.8974552866704,43358812,38.897446,-77.009888,North Capitol St & F St NW,classic,114,active,2022/06/28 22:44:39+00,11,0,11,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,23,"CREDITCARD,KEY",42,2022/06/28 23:12:28+00,,"Washington, DC"
-77.027314717802,38.9055870593997,43358813,38.905579,-77.027313,11th & M St NW,classic,115,active,2022/06/28 22:23:38+00,1,0,16,0,2,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"CREDITCARD,KEY",42,2022/06/28 23:12:28+00,,"Washington, DC"
-77.0703350228633,38.9225858345038,43358814,38.922581,-77.070334,36th & Calvert St NW / Glover Park,classic,116,active,2022/06/28 22:47:08+00,13,0,2,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"CREDITCARD,KEY",42,2022/06/28 23:12:28+00,,"Washington, DC"
-77.0318999827161,38.8981720188713,43358815,38.898164,-77.031898,14th & G St NW,classic,117,active,2022/06/28 23:07:18+00,22,0,1,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,23,"CREDITCARD,KEY",42,2022/06/28 23:12:28+00,,"Washington, DC"
